Job Title,Rating,Company Name,Location,Headquarters,Sector,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data
Data Scientist,2.9,SPECTRUM,"Maryland Heights, MO","Stamford, CT",Telecommunications,90,109,99, MO,0,4,1,1,1,0,0,0,1
Staff Scientist- Upstream PD,2.7,Advanced BioScience Laboratories,"Rockville, MD","Rockville, MD",Biotech & Pharmaceuticals,90,109,99, MD,1,59,0,0,0,0,0,0,0
Data Engineer,4.2,Procore Technologies,"Carpinteria, CA","Carpinteria, CA",Information Technology,90,109,99, CA,1,18,1,1,1,1,1,0,0
Sr Scientist - Extractables & Leachables,3.5,Ritedose,"Columbia, SC","Columbia, SC",Biotech & Pharmaceuticals,90,109,99, SC,1,25,0,1,0,0,0,0,0
ELISA RESEARCH SCIENTIST (CV-15),0.0,Covid-19 Search Partners,"Hauppauge, NY",-1,-1,90,109,99, NY,0,-1,0,0,0,0,0,0,0
Sr Data Scientist,4.2,bioMérieux,"Saint Louis, MO","Marcy-l'Etoile, France",Biotech & Pharmaceuticals,90,109,99, MO,0,57,1,1,0,0,0,0,0
Data Scientist,4.5,Novetta,"Herndon, VA","Mc Lean, VA",Information Technology,101,165,133, VA,0,8,1,1,0,0,1,0,0
Experienced Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",Government,101,165,133, DC,0,23,1,1,1,1,0,1,0
Machine Learning Engineer,0.0,Radical Convergence,"Reston, VA",-1,-1,101,165,133, VA,0,-1,1,0,0,0,0,0,0
Data Scientist,3.5,Leidos,"Fort Meade, MD","Reston, VA",Aerospace & Defense,101,165,133, MD,0,51,0,0,0,0,1,0,1
Data Scientist,4.5,Demandbase,"San Francisco, CA","San Francisco, CA",Information Technology,101,165,133, CA,1,14,1,0,0,1,1,0,1
Say Business Data Analyst,4.1,Shelter Insurance,"Columbia, MO","Columbia, MO",Insurance,101,165,133, MO,1,74,1,1,0,0,1,1,0
Geospatial Data Scientist,3.5,Maxar Technologies,"Chantilly, VA","Westminster, CO",Aerospace & Defense,101,165,133, VA,0,-1,0,0,0,0,0,0,0
Data Analyst,2.7,USAC,"Washington, DC","Washington, DC",Telecommunications,101,165,133, DC,1,23,1,1,0,0,0,0,0
Computational Scientist,3.4,General Dynamics Information Technology,"Vicksburg, MS","Fairfax, VA",Information Technology,101,165,133, MS,0,24,0,0,0,0,0,0,0
Data Scientist,4.4,Offerpad,"Chandler, AZ","Chandler, AZ",Real Estate,101,165,133, AZ,1,5,1,1,0,0,0,0,0
Senior Data Analyst,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",Information Technology,101,165,133, CA,0,38,1,0,1,1,0,0,1
Senior Data Analyst,4.2,Autodesk,"San Francisco, CA","Herndon, VA",Business Services,101,165,133, CA,0,52,1,0,1,1,0,1,1
Data Engineer,3.5,Magna International Inc.,"Birmingham, AL","Aurora, Canada",-1,101,165,133, AL,0,63,1,0,1,1,1,0,1
Sr Data Analyst,2.3,United BioSource,"Blue Bell, PA","Blue Bell, PA",Biotech & Pharmaceuticals,101,165,133, PA,1,17,0,1,0,0,0,1,0
Data Scientist,3.4,Kelly,"Chicago, IL","Troy, MI",Business Services,101,165,133, IL,0,74,0,1,0,0,0,0,0
"Machine Learning Scientist - Bay Area, CA",3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",Biotech & Pharmaceuticals,101,165,133, CA,0,5,1,0,0,0,1,0,0
Data Scientist,4.7,C3.ai,"Redwood City, CA","Redwood City, CA",Information Technology,101,165,133, CA,1,11,1,1,0,0,0,0,0
